Tournament,Date,Event,Rd,Aff,Neg,Decision
JV Novice Nationals at West Virginia University,3/3/2018,Nov,2,Rutgers-Newark KH,Indiana BG,NEG
JV Novice Nationals at West Virginia University,3/3/2018,JV,3,Liberty GK,United States Military KM,AFF
JV Novice Nationals at West Virginia University,3/3/2018,JV,4,James Madison/Washington KB,Liberty AB,NEG
JV Novice Nationals at West Virginia University,3/3/2018,JV,6,James Madison GH,United States Military CV,AFF
JV Novice Nationals at West Virginia University,3/3/2018,Nov,7,Washington LW,Rutgers-Newark BP,AFF
JV Novice Nationals at West Virginia University,3/3/2018,JV,Octos,Vanderbilt JR,James Madison SL,"AFF																				 	Vanderbilt on a 								3-0"
JV Novice Nationals at West Virginia University,3/3/2018,JV,Quarters,Rutgers-Newark AF,Vanderbilt JR,"AFF																				 	Rutgers-Ne on a 								2-1"
Binghamton  Northeast Regional Championship,2/24/2018,Open,1,United States Military LS,Cornell MM,NEG
Binghamton  Northeast Regional Championship,2/24/2018,Open,2,NewSchool FW,West Virginia AI,NEG
Binghamton  Northeast Regional Championship,2/24/2018,Nov,3,Binghamton OM,Boston College WO,NEG
Binghamton  Northeast Regional Championship,2/24/2018,Nov,4,United States Military LS,Binghamton WR,NEG
Binghamton  Northeast Regional Championship,2/24/2018,Nov,5,United States Military DM,Binghamton RR,AFF
Binghamton  Northeast Regional Championship,2/24/2018,Open,6,United States Military CV,Boston College/Binghamton WB,NEG
Binghamton  Northeast Regional Championship,2/24/2018,Open,Quarters,Cornell MM,West Virginia AI,"AFF																				 	Cornell MM on a 								3-0"
Binghamton  Northeast Regional Championship,2/24/2018,Nov,sems,Liberty CH,United States Military LS,"AFF																				 	Liberty CH on a 								3-0"
Hoosier Invitational Tournament,1/20/2018,Cutt,1,Michig Franz & Taylor,WaySta Jancek & Reynolds,AFF
Hoosier Invitational Tournament,1/20/2018,Cutt,2,Michig Vance & Love,WakFor Gonzalez & Shapiro,AFF
Hoosier Invitational Tournament,1/20/2018,Break,3,Cornell BS,Samfor Broadnax & Stem,AFF
Hoosier Invitational Tournament,1/20/2018,Break,4,Cornell LV,Indian Bagan & Gupta,AFF
Hoosier Invitational Tournament,1/20/2018,Break,5,Georgia State CC,Florida State HS,NEG
Hoosier Invitational Tournament,1/20/2018,Cutt,6,Samfor Windus & Davenport,Cornel Chang & Tan,AFF
Hoosier Invitational Tournament,1/20/2018,Cutt,7,Vander James & Remiker,Indian Dehmlow Dunne & Tally,AFF
Hoosier Invitational Tournament,1/20/2018,Break,Finals,Florida State HS,Cornell LV,"NEG																				 	Cornell LV on a 								3-0"
Crowe Warken Debates at Navy,1/13/2018,JV,1,Liberty AB,United States Military SL,AFF
Crowe Warken Debates at Navy,1/13/2018,Open,2,Liberty GK,Iowa NO,NEG
Crowe Warken Debates at Navy,1/13/2018,JV,3,Boston College DW,Liberty GG,AFF
Crowe Warken Debates at Navy,1/13/2018,JV,4,Wayne State JM,United States Military DC,AFF
Crowe Warken Debates at Navy,1/13/2018,Open,5,Florida AJ,James Madison GS,NEG
Crowe Warken Debates at Navy,1/13/2018,Novic,8,United States Military JM,Liberty CH,NEG
Crowe Warken Debates at Navy,1/13/2018,JV,Quarters,Cornell CD,Cornell LS,"AFF																				 	Cornell CD on a 								1-0"
Cal Swing 2,1/7/2018,Open,1,Harvard RS,Rutgers-Newark CW,NEG
Cal Swing 2,1/7/2018,Open,2,San Francisco State BG,UC Berkeley NR,NEG
Cal Swing 2,1/7/2018,Open,3,Liberty BW,Nevada Las Vegas AK,AFF
Cal Swing 2,1/7/2018,Open,4,Kansas HM,Liberty OT,AFF
Cal Swing 2,1/7/2018,JVN,5,Nevada Las Vegas BQ,San Francisco State HM,AFF
Cal Swing 2,1/7/2018,Open,6,Baylor WC,UC Berkeley JD,AFF
Cal Swing 1,1/3/2018,Open,1,Emory SY,Wake Forest EF,NEG
Cal Swing 1,1/3/2018,Open,2,Liberty OT,Harvard AM,NEG
Cal Swing 1,1/3/2018,Open,3,Washington BT,Liberty HS,NEG
Cal Swing 1,1/3/2018,Open,4,Rochester PM,Nevada Las Vegas AK,NEG
Cal Swing 1,1/3/2018,Open,5,Liberty BW,Harvard LZ,NEG
Cal Swing 1,1/3/2018,JVN,6,San Francisco State WP,Fresno State MM,AFF
Cal Swing 1,1/3/2018,Open,Doubles,Wake Forest DN,UC Berkeley GF,"AFF																				 	UC Berkele on a 								2-1"
Jersey Shore Invitational at Monmouth University,11/18/2017,Nov,1,Rutgers-Newark/Rochester KV,Liberty BS,NEG
Jersey Shore Invitational at Monmouth University,11/18/2017,Open,2,Rutgers-Newark AR,Liberty OT,NEG
Jersey Shore Invitational at Monmouth University,11/18/2017,Nov,4,Rutgers-Newark HM,Liberty CH,NEG
Jersey Shore Invitational at Monmouth University,11/18/2017,Nov,5,NYU RS,Rochester MK,NEG
Jersey Shore Invitational at Monmouth University,11/18/2017,Nov,6,Wilkes FS,Rochester LS,AFF
Jersey Shore Invitational at Monmouth University,11/18/2017,Open,Final,Rutgers-Newark QM,Liberty OT,"NEG																				 	Liberty OT on a 								3-0"
West Point Debate Tournament,10/28/2017,Novice,1,Libert SS,Monmou CS,AFF
West Point Debate Tournament,10/28/2017,Novice,2,Monmou BG,Libert CH,NEG
West Point Debate Tournament,10/28/2017,Novice,3,Monmou DD,Libert BC,NEG
West Point Debate Tournament,10/28/2017,Open,4,BosCol BC,Monmou AH,AFF
West Point Debate Tournament,10/28/2017,Open,5,UniSta SM,BosCol NV,NEG
West Point Debate Tournament,10/28/2017,Novice,6,Libert AC,BosCol MO,AFF
West Point Debate Tournament,10/28/2017,Open,7,NYU BS,Libert BW,AFF
West Point Debate Tournament,10/28/2017,Open,8,Monmou RS,Florid CS,NEG
West Point Debate Tournament,10/28/2017,Open,Octos,JamMad KT,Dartmo AC,"NEG																				 	Dartmo AC on a 								3-0"
West Point Debate Tournament,10/28/2017,Novice,Quarters,Washto PS,Libert BC,"NEG																				 	Libert BC on a 								3-0"
Wayne State George W Ziegelmueller Invitational,10/21/2017,JV,1,Indiana BL,Wayne State SA,AFF
Wayne State George W Ziegelmueller Invitational,10/21/2017,Open,2,Michigan FT,Vanderbilt RJ,AFF
Wayne State George W Ziegelmueller Invitational,10/21/2017,JV,3,Indiana RL,WaySta JM,NEG
Wayne State George W Ziegelmueller Invitational,10/21/2017,Open,4,Kentucky LM,Michigan JP,NEG
Wayne State George W Ziegelmueller Invitational,10/21/2017,Open,5,Wayne State AH,Michigan ZS,AFF
Wayne State George W Ziegelmueller Invitational,10/21/2017,Open,Quarters,Vanderbilt RJ,Michigan FT,"NEG																				 	Michigan F on a 								2-1"
UMW Debate Tournament,10/13/2017,Nov,1,Navy McTa,Liberty MS,NEG
UMW Debate Tournament,10/13/2017,JV,2,Cornell MS,Liberty DG,AFF
UMW Debate Tournament,10/13/2017,Nov,3,Liberty MR,Navy BoSc,AFF
UMW Debate Tournament,10/13/2017,JV,4,Liberty MR,Florida SS,AFF
UMW Debate Tournament,10/13/2017,Nov,5,Liberty CH,Navy BaSh,AFF
UMW Debate Tournament,10/13/2017,JV,Quarters,Florida SS,Liberty MR,"NEG																				 	Liberty MR on a 								3-0"
Rutgers NE Regional Opener,9/22/2017,JV,1,United States Military FR,Liberty AA,NEG
Rutgers NE Regional Opener,9/22/2017,nov,N 2,Liberty BC,Monmouth MB,AFF
Rutgers NE Regional Opener,9/22/2017,open,Opn 3,Rochester PM,United States Military MS,NEG
Rutgers NE Regional Opener,9/22/2017,JV,4,Cornell MS,Liberty GH,AFF
Rutgers NE Regional Opener,9/22/2017,nov,N 5,United States Military SJ,Liberty MS,NEG
Rutgers NE Regional Opener,9/22/2017,nov,N 6,United States Military BB,Liberty CH,NEG
Rutgers NE Regional Opener,9/22/2017,JV,Octos,United States Military FR,Cornell MS,"NEG																				 	Cornell MS on a 								2-1"
Rutgers NE Regional Opener,9/22/2017,JV,Quarters,Liberty MR,Cornell MS,"NEG																				 	Cornell MS on a 								2-1"
Brad Smith Debate Tournament at the University of Rochester,9/16/2017,Open,1,Rochester PM,United States Military MS,NEG
Brad Smith Debate Tournament at the University of Rochester,9/16/2017,Open,2,United States Military RP,NewSchool/Rochester VL,AFF
Brad Smith Debate Tournament at the University of Rochester,9/16/2017,Nov,3,Cornell KO,United States Military SL,NEG
Brad Smith Debate Tournament at the University of Rochester,9/16/2017,Open,4,Cornell LX,NewSchool SS,AFF
Brad Smith Debate Tournament at the University of Rochester,9/16/2017,Open,5,Cornell BV,United States Military DW,AFF
Brad Smith Debate Tournament at the University of Rochester,9/16/2017,Open,8,United States Military MS,Cornell CS,"AFF																				 	United Sta on a 								2-1"
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,1,Liberty HT,NewSchool SS,AFF
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,2,Nevada Las Vegas BO,Liberty BD,NEG
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,3,UVM BH,NewSchool ST,AFF
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,4,Texas SH,Wake Forest NW,NEG
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,6,UT Dallas AR,Liberty RW,AFF
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,7,Southern California BL,West Georgia MJ,AFF
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,8,United States Military MK,Emporia State MW,AFF
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,Dbls,Nevada Las Vegas BO,Rutgers-Newark CW,"AFF																				 	Nevada Las on a 								2-1"
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,Nv Semis,Washington/James Madison BS,NewSchool SS,"AFF																				 	Washington on a 								3-0"
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,Qtrs,Missouri - Kansas City AT,West Georgia MJ,"AFF																				 	Missouri - on a 								3-0"
Cross Examination Debate Assocation National Tournament,3/17/2017,Open,Final,Rutgers-Newark NM,Missouri - Kansas City AT,"AFF																				 	Rutgers-Ne on a 								8-1"
ADA Nationals George Mason University,3/11/2017,JV,1,Liberty BW,Boston Coll BC,AFF
ADA Nationals George Mason University,3/11/2017,JV,2,Liberty RT,Miami SL,AFF
ADA Nationals George Mason University,3/11/2017,Open,3,Indiana HS,Emory LM,AFF
ADA Nationals George Mason University,3/11/2017,JV,4,Boston Coll CL,Liberty HS,NEG
ADA Nationals George Mason University,3/11/2017,Open,5,James Madison ST,Kentucky BR,NEG
ADA Nationals George Mason University,3/11/2017,JV,6,Monmouth TH,Southwestern DS,NEG
ADA Nationals George Mason University,3/11/2017,JV,Octo,Samford DW,Liberty GW,"NEG																				 	Liberty GW on a 								2-1"
Cornell Policy Tournament The Tournament of Love,2/11/2017,JV,1,Boston College BC,Rutgers-Newark KG,AFF
Cornell Policy Tournament The Tournament of Love,2/11/2017,O,2,New York BK,Rochester BG,AFF
Cornell Policy Tournament The Tournament of Love,2/11/2017,N,3,Binghamton/Rochester HS,Rutgers-Newark MM,AFF
Cornell Policy Tournament The Tournament of Love,2/11/2017,N,4,Wilkes FS,Binghamton YN,AFF
Cornell Policy Tournament The Tournament of Love,2/11/2017,N,5,Binghamton YK,Rochester LF,AFF
Cornell Policy Tournament The Tournament of Love,2/11/2017,JV,6,Cornell KS,New LK,AFF
Cornell Policy Tournament The Tournament of Love,2/11/2017,O,Finals,Rochester BG,Rutgers-Newark RM,"NEG																				 	Rutgers-Ne on a 								3-0"
JMU College Invitational,1/27/2017,Open,1,Liberty RT,Navy GY,AFF
JMU College Invitational,1/27/2017,Open,3,Liberty BD,United States Military CS,AFF
JMU College Invitational,1/27/2017,Open,4,James Madison BK,Liberty HS,AFF
JMU College Invitational,1/27/2017,Open,5,James Madison DC,Liberty BW,NEG
JMU College Invitational,1/27/2017,Nov,6,Liberty BP,United States Military CR,AFF
JMU College Invitational,1/27/2017,Open,OCTOS,Liberty BW,James Madison DC,"NEG																				 	James Madi on a 								3-0"
JMU College Invitational,1/27/2017,Nov,SEMIS,United States Military KK,Liberty AA,"NEG																				 	Liberty AA on a 								3-0"
Crowe Warken Debates at Navy,1/14/2017,Open,1,Dartmouth VV,Wake Forest NW,NEG
Crowe Warken Debates at Navy,1/14/2017,Novic,2,United States Military KK,James Madison FS,NEG
Crowe Warken Debates at Navy,1/14/2017,Novic,3,James Madison SH,Florida GS,NEG
Crowe Warken Debates at Navy,1/14/2017,Novic,4,Florida SV,Liberty AA,AFF
Crowe Warken Debates at Navy,1/14/2017,JV,5,Liberty HM,Boston College CN,AFF
Crowe Warken Debates at Navy,1/14/2017,JV,6,Cornell MS,Liberty GW,AFF
Crowe Warken Debates at Navy,1/14/2017,Novic,7,Cornell MV,James Madison LW,AFF
Crowe Warken Debates at Navy,1/14/2017,Novic,Octa,Cornell MV,James Madison SH,"AFF																				 	Cornell MV on a 								3-0"
Crowe Warken Debates at Navy,1/14/2017,JV,Semis,Cornell MS,Liberty HM,"NEG																				 	Liberty HM on a 								2-1"
Liberty Debate Tournament,11/4/2016,JV,1,Liberty MS,Florida AS,NEG
Liberty Debate Tournament,11/4/2016,Open,2,James Madison LW,Pittsburgh BF,AFF
Liberty Debate Tournament,11/4/2016,Open,3,Samford DR,Liberty HS,NEG
Liberty Debate Tournament,11/4/2016,Open,4,Boston College MP,Liberty BW,NEG
Liberty Debate Tournament,11/4/2016,Open,5,Kentucky SL,Florida State GM,AFF
Liberty Debate Tournament,11/4/2016,Open,6,James Madison CD,Pittsburgh CR,NEG
Liberty Debate Tournament,11/4/2016,JV,Quarters,Florida AS,Boston College BC,"NEG																				 	Florida AS on a 								2-1"
Rutgers NE Regional Opener,9/23/2016,JV,1,United States Military LK,James Madison MC,AFF
Rutgers NE Regional Opener,9/23/2016,open,Opn 2,Rutgers-Newark QR,United States Military CS,AFF
Rutgers NE Regional Opener,9/23/2016,open,Opn 3,James Madison TC,United States Military CM,NEG
Rutgers NE Regional Opener,9/23/2016,nov,N 4,NYU MS,Cornell MV,NEG
Rutgers NE Regional Opener,9/23/2016,nov,N 5,Liberty MS,James Madison SD,NEG
Rutgers NE Regional Opener,9/23/2016,nov,N 6,Liberty BP,Rochester PK,NEG
Rutgers NE Regional Opener,9/23/2016,nov,Octos,James Madison SF,Liberty Gr,"AFF																				 	Liberty Gr on a 								2-1"
Rutgers NE Regional Opener,9/23/2016,nov,Quarters,NYU HI,James Madison SD,"NEG																				 	James Madi on a 								3-0"
70th National Debate Tournament at Binghamton,3/31/2016,Open,Round 1,Samford BD,Oklahoma CS,NEG
70th National Debate Tournament at Binghamton,3/31/2016,Open,Round 2,United States Military BS,Michigan MK,NEG
70th National Debate Tournament at Binghamton,3/31/2016,Open,Round 3,Baylor BZ,Vermont BL,NEG
70th National Debate Tournament at Binghamton,3/31/2016,Open,Round 4,Puget Sound BQ,George Mason BO,NEG
70th National Debate Tournament at Binghamton,3/31/2016,Open,Round 5,Rutgers-Newark HQ,Kansas BC,AFF
70th National Debate Tournament at Binghamton,3/31/2016,Open,Round 6,Liberty CS,Harvard AM,NEG
Cross Examination Debate Association National Tournament,3/25/2016,Open,RD 1,Rutgers-Newark HS,Vermont BL,NEG
Cross Examination Debate Association National Tournament,3/25/2016,Open,RD 2,Louisville GW,Texas HM,NEG
Cross Examination Debate Association National Tournament,3/25/2016,Open,RD 3,Louisville HT,UNLV OW,NEG
Cross Examination Debate Association National Tournament,3/25/2016,Open,RD 4,Washington ST,City College of San Francisco BR,NEG
Cross Examination Debate Association National Tournament,3/25/2016,Open,RD 5,Cornell LT,UNLV BT,AFF
Cross Examination Debate Association National Tournament,3/25/2016,Open,RD 7,UNLV AO,Wake Forest CL,NEG
Cross Examination Debate Association National Tournament,3/25/2016,Open,RD 8,UNLV CH,George Mason DM,NEG
ADA Nationals at Boston College,3/11/2016,Novi,2,George Mason SS,Liberty GT,NEG
ADA Nationals at Boston College,3/11/2016,Novi,3,Boston KY,George Mason CL,NEG
ADA Nationals at Boston College,3/11/2016,JV,4,Navy PP,Boston BS,NEG
ADA Nationals at Boston College,3/11/2016,Novi,5,Cornell MR,Navy GY,AFF
ADA Nationals at Boston College,3/11/2016,JV,Quarters,Liberty DW,George Mason HY,"NEG																				 	Liberty DW on a 								2-1"
ADA Nationals at Boston College,3/11/2016,Novi,Quarters,Liberty HH,George Mason CL,"AFF																				 	Liberty HH on a 								3-0"
JV Novice Nationals at West Virginia University,3/5/2016,Nov,1,Central Florida TS,Rutgers-Newark KG,AFF
JV Novice Nationals at West Virginia University,3/5/2016,JV,2,GeoMas HM,JamMad CD,NEG
JV Novice Nationals at West Virginia University,3/5/2016,JV,3,JamMad GM,Louisv TW,AFF
JV Novice Nationals at West Virginia University,3/5/2016,Nov,5,NYU ST,Cornell SS,NEG
JV Novice Nationals at West Virginia University,3/5/2016,Nov,6,Liberty GT,Cornell RY,AFF
JV Novice Nationals at West Virginia University,3/5/2016,Nov,7,Liberty HH,George Mason AS,AFF
JV Novice Nationals at West Virginia University,3/5/2016,Nov,Octos,United States Military KF,Cornell RY,"NEG																				 	Cornell RY on a 								2-1"
JV Novice Nationals at West Virginia University,3/5/2016,JV,Quarters,Libert OR,GeoMas OK,"NEG																				 	GeoMas OK on a 								3-0"
JV Novice Nationals at West Virginia University,3/5/2016,Nov,Finals,United States Military CM,Michigan RL,"AFF																				 	United Sta on a 								3-0"
42nd Annual Harvard National Forensics Tournament,2/11/2016,VCX,1,Ransom Everglades BC,Georgetown Day SB,AFF
42nd Annual Harvard National Forensics Tournament,2/11/2016,VCX,2,Chicago Lab Schools HB,Millard North SB,NEG
42nd Annual Harvard National Forensics Tournament,2/11/2016,VCX,3,Strath Haven BM,Homewood-Flossmoor HL,NEG
42nd Annual Harvard National Forensics Tournament,2/11/2016,JV CX,3,North Star Academy SF,Kingwood CB,NEG
42nd Annual Harvard National Forensics Tournament,2/11/2016,VCX,5,Chicago Lab Schools WU,Reagan SS,NEG
42nd Annual Harvard National Forensics Tournament,2/11/2016,VCX,7,Traverse City Central FR,Blake BO,AFF
42nd Annual Harvard National Forensics Tournament,2/11/2016,JV CX,Doubles,Woodlands SN,Nashua South MP,"AFF																				 	Nashua Sou on a 								2-1"
42nd Annual Harvard National Forensics Tournament,2/11/2016,VCX,Doubles,Millard North SB,Central Catholic MW,"AFF																				 	Millard No on a 								2-1"
James Madison University College Tournament,1/29/2016,Open,1,James Madison MW,Liberty OR,AFF
James Madison University College Tournament,1/29/2016,Nov,2,United States Military CK,Liberty WH,AFF
James Madison University College Tournament,1/29/2016,Nov,3,Liberty MD,United States Military DM,AFF
James Madison University College Tournament,1/29/2016,Nov,4,Liberty GT,United States Military FM,AFF
James Madison University College Tournament,1/29/2016,Open,5,George Mason BO,Liberty CrSc,AFF
James Madison University College Tournament,1/29/2016,Open,6,George Mason KK,James Madison MC,AFF
James Madison University College Tournament,1/29/2016,Nov,Quarters,Liberty JE,George Mason CL,"NEG																				 	George Mas on a 								3-0"
Rochesters Brad Smith Debate Tournament,11/21/2015,,1,NYU HW,Binghamton MV,AFF
Rochesters Brad Smith Debate Tournament,11/21/2015,,2,Monmouth DB,USMA CW,NEG
Rochesters Brad Smith Debate Tournament,11/21/2015,,3,NYU SM,Monmouth SW,NEG
Rochesters Brad Smith Debate Tournament,11/21/2015,,4,Binghamton EH,Monmouth HS,AFF
Rochesters Brad Smith Debate Tournament,11/21/2015,,5,Monmouth PT,Rochester XX,AFF
Rochesters Brad Smith Debate Tournament,11/21/2015,,Qrts,NYU LR,Binghamton MV,"AFF																				 	NYU LR on a 								3-0"
Rochesters Brad Smith Debate Tournament,11/21/2015,,Semis,NYU LR,Cornell SS,"NEG																				 	Cornell SS on a 								2-1"
Rochesters Brad Smith Debate Tournament,11/21/2015,,Semis,USMA MH,Cornell LT,"NEG																				 	Cornell LT on a 								3-0"
Franklin R Shirley Classic at Wake Forest University,11/13/2015,Open,RD 1,Miami SL,Nevada Las Vegas HC,NEG
Franklin R Shirley Classic at Wake Forest University,11/13/2015,Open,RD 2,Cornell KR,West Georgia MJ,NEG
Franklin R Shirley Classic at Wake Forest University,11/13/2015,Open,RD 4,West Georgia DZ,Michigan SG,NEG
Franklin R Shirley Classic at Wake Forest University,11/13/2015,Open,RD 5,Southern California BL,George Mason KK,AFF
Franklin R Shirley Classic at Wake Forest University,11/13/2015,Open,RD 7,Cornell LT,George Mason MT,NEG
Franklin R Shirley Classic at Wake Forest University,11/13/2015,Open,RD 8,United States Military OR,Indiana GT,NEG
Franklin R Shirley Classic at Wake Forest University,11/13/2015,Open,DBLS,Michigan KM,United States Military BC,"AFF																				 	Michigan K on a 								5-0"
Liberty University Debate Tournament,11/6/2015,JV,1,United States Military HM,Wayne State AW,NEG
Liberty University Debate Tournament,11/6/2015,Open,2,Liberty CS,Kentucky BR,AFF
Liberty University Debate Tournament,11/6/2015,Novi,3,Liberty BH,Boston KY,AFF
Liberty University Debate Tournament,11/6/2015,Novi,4,James Madison NB,Navy GM,NEG
Liberty University Debate Tournament,11/6/2015,Open,5,James Madison Mo,United States Military GB,AFF
Liberty University Debate Tournament,11/6/2015,Open,6,George Mason BO,Kentucky AM,AFF
Liberty University Debate Tournament,11/6/2015,JV,Quarters,James Madison CM,George Mason LY,"NEG																				 	George Mas on a 								2-1"
Rutgers NE Regional Opener,9/25/2015,open,Opn 1,George Mason GM,James Madison CP,AFF
Rutgers NE Regional Opener,9/25/2015,JV,2,Rutgers-Newark/Rochester BM,United States Military HM,AFF
Rutgers NE Regional Opener,9/25/2015,open,Opn 3,United States Military BG,James Madison TG,NEG
Rutgers NE Regional Opener,9/25/2015,open,Opn 4,Navy RM,RutgersNewark QC,NEG
Rutgers NE Regional Opener,9/25/2015,nov,N 5,West Virginia BR,United States Military LS,NEG
Rutgers NE Regional Opener,9/25/2015,JV,6,Cornell XK,United States Military CW,AFF
Rutgers NE Regional Opener,9/25/2015,nov,Nov Quarters,James Madison CE,NYU PS,"AFF																				 	James Madi on a 								2-1"
69th National Debate Tournament in Iowa,4/3/2015,Open,1,James Madison ML,NYU IZ,AFF
69th National Debate Tournament in Iowa,4/3/2015,Open,2,Concordia College SS,Rutgers-Newark SH,NEG
69th National Debate Tournament in Iowa,4/3/2015,Open,3,Liberty CS,Towson TW,NEG
69th National Debate Tournament in Iowa,4/3/2015,Open,4,Vanderbilt BM,Southern California BL,NEG
69th National Debate Tournament in Iowa,4/3/2015,Open,6,KCKCC GJ,James Madison BW,NEG
JVNovice Nationals at Binghamton University,3/6/2015,JV,1,USMA CH,Dartmouth AA,NEG
JVNovice Nationals at Binghamton University,3/6/2015,JV,2,JMU MoPa,Liberty CK,NEG
JVNovice Nationals at Binghamton University,3/6/2015,JV,3,Liberty RS,GMU CW,AFF
JVNovice Nationals at Binghamton University,3/6/2015,JV,4,Rutgers CJ,USMA RS,AFF
JVNovice Nationals at Binghamton University,3/6/2015,JV,5,JMU CH,NYU AZ,NEG
JVNovice Nationals at Binghamton University,3/6/2015,JV,6,Rutgers JR,GMU CK,NEG
JVNovice Nationals at Binghamton University,3/6/2015,JV,Octos,Rutgers CJ,JMU BW,"NEG																				 	JMU BW on a 								2-1"
JVNovice Nationals at Binghamton University,3/6/2015,JV,Quarters,JMU BW,BC CC,"AFF																				 	JMU BW on a 								3-0"
JVNovice Nationals at Binghamton University,3/6/2015,JV,Semis,Rutgers JR,Dartmouth AA,"AFF																				 	Rutgers JR on a 								2-1"
JVNovice Nationals at Binghamton University,3/6/2015,JV,Finals,GMU CK,Rutgers JR,"AFF																				 	GMU CK on a 								2-1"
D8 NDT Qualifier at WCSU,2/21/2015,D8,1,Dartmouth College KM,NYU IZ,NEG
D8 NDT Qualifier at WCSU,2/21/2015,D8,2,Vermont BL,United States Military BC,NEG
CEDA East Regionals at WCSU,2/21/2015,JV,3,Cornell DT,United States Military RS,NEG
D8 NDT Qualifier at WCSU,2/21/2015,D8,4,Dartmouth College AY,Boston College CK,AFF
D8 NDT Qualifier at WCSU,2/21/2015,D8,5,NYU DK,Dartmouth College KM,NEG
CEDA East Regionals at WCSU,2/21/2015,JV,Finals,Cornell RK,West Virginia MO,"NEG																				 	West Virgi on a 								2-1"
Crowe Warken Debates at Navy,1/17/2015,JV,2,Boston College CS,United States Military CP,AFF
Crowe Warken Debates at Navy,1/17/2015,Novic,3,Boston College JN,United States Military CH,NEG
Crowe Warken Debates at Navy,1/17/2015,Open,4,Pittsburgh CP,James Madison HC,AFF
Crowe Warken Debates at Navy,1/17/2015,JV,5,Miami IP,West Virginia WG,AFF
Crowe Warken Debates at Navy,1/17/2015,JV,6,Boston College PM,West Virginia/CUNY FY,AFF
Crowe Warken Debates at Navy,1/17/2015,Novic,7,James Madison JT,Miami CS,NEG
Crowe Warken Debates at Navy,1/17/2015,Open,8,James Madison BW,Wake Forest BL,NEG
Crowe Warken Debates at Navy,1/17/2015,JV,Octos,Miami IP,Boston College CS,"NEG																				 	Boston Col on a 								2-1"
Crowe Warken Debates at Navy,1/17/2015,JV,Quarters,George Washington RT,Boston College PM,"NEG																				 	Boston Col on a 								3-0"
